Index,question,answer
1057,my parents are divorced.,so are mine.
1058,so are mine.,why did your parents get divorced?
1059,why did your parents get divorced?,my father found a new girlfriend.
1060,my father found a new girlfriend.,that's too bad.
1061,that's too bad.,my mother was hurt and angry.
1062,my mother was hurt and angry.,she had good reason. what did she do?
1063,she had good reason. what did she do?,she told him to drop his girlfriend.
1064,she told him to drop his girlfriend.,what did your father do?
1065,what did your father do?,he moved out of our house.
1066,he moved out of our house.,i guess he really liked his new girlfriend.
1067,i guess he really liked his new girlfriend.,"yes, but she left him a year later."
1068,my grandma's apartment smells funny.,so does mine.
1069,so does mine.,i think it's an old people's smell.
1070,i think it's an old people's smell.,really?
1071,really?,"yes. i think when you get old, you begin to smell."
1072,"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?
1073,like fruit that is too ripe?,"yes, just like fruit that is too ripe."
1074,"yes, just like fruit that is too ripe.",but the smell is different.
1075,but the smell is different.,"yes, old people don't smell like fruit."
1076,"yes, old people don't smell like fruit.","no, they smell like a thrift shop."
1077,"no, they smell like a thrift shop.","yes, a thrift shop has that same smell."
1078,"yes, a thrift shop has that same smell.","yes, an old smell."
1079,the price of stamps goes up and up.,i think stamps used to cost a penny.
1080,i think stamps used to cost a penny.,that was a long time ago.
1081,that was a long time ago.,it was before i was born.
1082,it was before i was born.,now a stamp is 42 cents.
1083,now a stamp is 42 cents.,but in may it will be 44 cents.
1084,but in may it will be 44 cents.,have you ever lost a letter in the mail?
1085,have you ever lost a letter in the mail?,"no, i haven't."
1086,"no, i haven't.",neither have i.
1087,neither have i.,"so, they do a good job for the money."
1088,"so, they do a good job for the money.","yes, they do."
1089,"yes, they do.",maybe we shouldn't complain.
1090,a button came off my shirt.,what are you going to do?
1091,what are you going to do?,"first, i have to find the button."
1092,"first, i have to find the button.",where did you lose it?
1093,where did you lose it?,i have no idea.
1094,i have no idea.,a button is hard to find. did you look in your pant cuffs?
1095,a button is hard to find. did you look in your pant cuffs?,that's a good idea.
1096,that's a good idea.,i found a button in my pant cuffs one time.
1097,i found a button in my pant cuffs one time.,"let me look. no, it's not there."
1098,"let me look. no, it's not there.",many shirts come with an extra button.
1099,many shirts come with an extra button.,you're right. this one does have an extra button.
1100,you're right. this one does have an extra button.,now all you have to do is sew it on.
1101,i have to go to the bathroom.,you drink too much coffee.
1102,you drink too much coffee.,but i love coffee.
1103,but i love coffee.,"well, it's your life."
1104,"well, it's your life.",you eat too much chocolate.
1105,you eat too much chocolate.,i don't think so.
1106,i don't think so.,have you looked in the mirror?
1107,have you looked in the mirror?,do you think i'm getting fat?
1108,do you think i'm getting fat?,i didn't say that.
1109,i didn't say that.,what did you say?
1110,what did you say?,i said i have to go to the bathroom.
1111,i said i have to go to the bathroom.,that's what i thought you said.
1112,did you do the laundry?,"yes, i did."
1113,"yes, i did.",what did you wash?
1114,what did you wash?,i washed the sheets and towels.
1115,i washed the sheets and towels.,what about the pillowcases?
1116,what about the pillowcases?,"yes, i took them off the pillows and washed them."
1117,"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
1118,did you dry everything in the dryer?,"yes, i dried everything in the dryer."
1119,"yes, i dried everything in the dryer.",then what did you do?
1120,then what did you do?,i folded all the towels.
1121,i folded all the towels.,did you put the sheets on the beds?
1122,did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
1123,do you listen to the radio?,i listen day and night.
1124,i listen day and night.,what do you listen to?
1125,what do you listen to?,mostly talk radio.
1126,mostly talk radio.,what's that?
1127,what's that?,people talk about current events.
1128,people talk about current events.,what do they say?
1129,what do they say?,they say they want change.
1130,they say they want change.,what kind of change?
1131,what kind of change?,they want tax cuts.
1132,they want tax cuts.,why do they want tax cuts?
1133,why do they want tax cuts?,because tax cuts will save them money.
1134,"mom, i'm hungry.",look in the fridge.
1135,look in the fridge.,i'm looking. there's nothing to eat.
1136,i'm looking. there's nothing to eat.,are you sure?
1137,are you sure?,it's almost empty.
1138,it's almost empty.,i went to the market yesterday.
1139,i went to the market yesterday.,i don't see anything.
1140,i don't see anything.,i bought lots of oranges and apples.
1141,i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
1142,i don't want fruit. i want something tasty.,eat the fruit. it's good for you.
1143,eat the fruit. it's good for you.,"next time you go to the market, let me go with you."
1144,"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars."
1145,what is there to eat?,i don't know. look in the fridge.
1146,i don't know. look in the fridge.,i think i'll make a sandwich.
1147,i think i'll make a sandwich.,what kind?
1148,what kind?,a ham sandwich.
1149,a ham sandwich.,the bread is in the cabinet.
1150,the bread is in the cabinet.,where's the mustard?
1151,where's the mustard?,"it's in the fridge, i think."
1152,"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
1153,"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
1154,"yes, that sounds nice.",how about some potato chips?
1155,how about some potato chips?,"yes. and a pickle, if we have any."
1156,"it's time for your bath, young lady.","but, mom, i'm not dirty."
1157,"but, mom, i'm not dirty.",you need a bath every day.
1158,you need a bath every day.,why?
1159,why?,because you don't want to smell bad.
1160,because you don't want to smell bad.,i don't smell bad.
1161,i don't smell bad.,that's what you think.
1162,that's what you think.,"if i smelled bad, i could smell me."
1163,"if i smelled bad, i could smell me.",i can smell you.
1164,i can smell you.,"i can smell you, too."
1165,"i can smell you, too.",that's my perfume.
1166,that's my perfume.,when can i wear perfume?
1167,something's wrong with my computer.,exactly what?
1168,exactly what?,all i get is a black screen.
1169,all i get is a black screen.,what's the matter?
1170,what's the matter?,"i think i know, because this happened before."
1171,"i think i know, because this happened before.",what happened before?
1172,what happened before?,my hard drive crashed.
1173,my hard drive crashed.,"oh, no. that's bad news."
1174,"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure."
1175,"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
1176,will you lose all your files?,"no, i always back up my files."
1177,"no, i always back up my files.",you're smart.
1178,i called hp about my computer.,what did they say?
1179,what did they say?,they said i need a new hard drive.
1180,they said i need a new hard drive.,that's too bad. how much is a new one?
1181,that's too bad. how much is a new one?,"it's not too much, only about $85."
1182,"it's not too much, only about $85.",plus installation?
1183,plus installation?,"no, my hard drive is easy to remove and replace."
1184,"no, my hard drive is easy to remove and replace.",really?
1185,really?,"yes, it's just a couple of screws."
1186,"yes, it's just a couple of screws.",that's nice.
1187,that's nice.,it's a lot better than paying someone $60.
1188,it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
1189,what's your email address?,it's bluedog123.
1190,it's bluedog123.,bluedog123. are you sure that's all?
1191,bluedog123. are you sure that's all?,yes.
1192,yes.,no. that's incomplete.
1193,no. that's incomplete.,what do you mean?
1194,what do you mean?,what's your mailing address?
1195,what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
1196,"456 cherry drive, pasadena, ca 91170.",that's correct.
1197,that's correct.,so what's the problem?
1198,so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
1199,"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
1200,i'm going to take a nap.,you should unplug the phone.
1201,you should unplug the phone.,that's a good idea.
1202,that's a good idea.,do you want me to wake you in an hour?
1203,do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
1204,"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
1205,i'll start dinner at 6:00.,okay. i think i'll be awake by then.
1206,okay. i think i'll be awake by then.,"if not, your nose will wake you up."
1207,"if not, your nose will wake you up.",you mean i will smell the food cooking?
1208,you mean i will smell the food cooking?,you might even dream about dinner.
1209,you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
1210,i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
1211,that was a nice funeral.,"yes, dad, it was."
1212,"yes, dad, it was.",the son gave a nice speech about his father.
1213,the son gave a nice speech about his father.,"it was long, too."
1214,"it was long, too.",i think it was about 45 minutes long.
1215,i think it was about 45 minutes long.,but it went by fast. it was interesting.
1216,but it went by fast. it was interesting.,i liked it.
1217,i liked it.,"i'll give you a speech like that, too."
1218,"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
1219,do you think anyone will come to my funeral?,of course.
1220,of course.,i think only the family will be there.
1221,i think only the family will be there.,"you have lots of friends. they will be there, too!"
1222,yikes! what was that noise?,i had to blow my nose.
1223,i had to blow my nose.,did you have to blow right next to the phone?
1224,did you have to blow right next to the phone?,did you hear that?
1225,did you hear that?,of course i heard that. i thought a plane had crashed into your house.
1226,of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.
1227,it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
1228,"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
1229,okay. i'll take your word for it.,i thought you had an elephant in your house.
1230,i thought you had an elephant in your house.,you're funny.
1231,you're funny.,what did you say? i think i've gone deaf.
1232,what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
1233,i have lots of friends.,really? how many do you have?
1234,really? how many do you have?,"i don't know, maybe one hundred."
1235,"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
1236,that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
1237,of course. i have lots of best friends.,how many best friends do you have?
1238,how many best friends do you have?,i think about twenty-five.
1239,i think about twenty-five.,hmm. i have only one best friend.
1240,hmm. i have only one best friend.,i feel sorry for you.
1241,i feel sorry for you.,i have only a few friends.
1242,i have only a few friends.,you must be lonely. i will share my friends with you.
1243,you must be lonely. i will share my friends with you.,that's very nice of you.
1244,don't you ever cheat on me.,why would i do that?
1245,why would i do that?,because men like to cheat.
1246,because men like to cheat.,"some men do, but not me."
1247,"some men do, but not me.",i'm watching you.
1248,i'm watching you.,i'm an open book. watch me all you want.
1249,i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
1250,"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
1251,"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out.
1252,i will poke your eyes out.,i don't want any other woman.
1253,i don't want any other woman.,"i will chop your toes off, one by one."
1254,"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
1255,i hate to go outside.,me too.
1256,me too.,why do you hate to go outside?
1257,why do you hate to go outside?,i meet too many jerks.
1258,i meet too many jerks.,i agree.
1259,i agree.,this city is full of jerks.
1260,this city is full of jerks.,rude people are everywhere.
1261,rude people are everywhere.,but what can you do?
1262,but what can you do?,you can yell at them.
1263,you can yell at them.,and they will yell back at you.
1264,and they will yell back at you.,yelling doesn't do any good.
1265,yelling doesn't do any good.,no. the best thing to do is just stay home.
1266,will you look at this form?,are you having problems with it?
1267,are you having problems with it?,i don't understand some things.
1268,i don't understand some things.,let me help you.
1269,let me help you.,"what does ""mi"" mean?"
1270,"what does ""mi"" mean?",mi stands for middle initial.
1271,mi stands for middle initial.,"what does ""mm/dd/yy"" mean?"
1272,"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
1273,that means month/day/year. use numbers.,i don't understand.
1274,i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
1275,"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
1276,oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
1277,let's go to the animal shelter.,what do you want to do?
1278,what do you want to do?,i want to get a puppy for my son.
1279,i want to get a puppy for my son.,that will make him so happy.
1280,that will make him so happy.,i'll get him one of those little dogs.
1281,i'll get him one of those little dogs.,one that won't grow up too big.
1282,one that won't grow up too big.,and eat too much.
1283,and eat too much.,do you know which one he would like?
1284,do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
1285,"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
1286,i bet you had to drag him away.,he wanted to take it home yesterday.
1287,he wanted to take it home yesterday.,i wonder what he'll name it.
1288,what's the weather like?,i don't know. i just woke up.
1289,i don't know. i just woke up.,why don't you look outside?
1290,why don't you look outside?,okay. it looks like rain.
1291,okay. it looks like rain.,why do you say that?
1292,why do you say that?,the sky is gray.
1293,the sky is gray.,is it raining right now?
1294,is it raining right now?,no.
1295,no.,how do you know?
1296,how do you know?,the street isn't wet.
1297,the street isn't wet.,i have to go shopping today.
1298,i have to go shopping today.,you'd better take an umbrella.
1299,i can't believe how hot it is.,it's not even noon yet.
1300,it's not even noon yet.,that means it will get hotter.
1301,that means it will get hotter.,i am dying from the heat.
1302,i am dying from the heat.,turn on the air conditioner.
1303,turn on the air conditioner.,it doesn't work.
1304,it doesn't work.,what happened?
1305,what happened?,i don't know.
1306,i don't know.,did you call the repairman?
1307,did you call the repairman?,of course.
1308,of course.,when is he coming?
1309,when is he coming?,he's busy. he said next week.
1310,i'll be glad when winter comes.,why is that?
1311,why is that?,because i love the snow.
1312,because i love the snow.,"yes, the snow is fun."
1313,"yes, the snow is fun.",last year we made a big snowman.
1314,last year we made a big snowman.,how big was it?
1315,how big was it?,it was seven feet tall.
1316,it was seven feet tall.,how long did it take?
1317,how long did it take?,it took us all day.
1318,it took us all day.,did you give him a nose?
1319,did you give him a nose?,of course. we gave him a big carrot for a nose.
1320,of course. we gave him a big carrot for a nose.,let me help you make one this year.
1321,i'm going to the bank.,what do you need to do?
1322,what do you need to do?,i need to withdraw some money.
1323,i need to withdraw some money.,how are you going to do that?
1324,how are you going to do that?,i'll just use the atm.
1325,i'll just use the atm.,what's that?
1326,what's that?,it's the automatic teller machine.
1327,it's the automatic teller machine.,it gives you money?
1328,it gives you money?,i just insert my debit card into the machine.
1329,i just insert my debit card into the machine.,and it gives you money?
1330,and it gives you money?,"well, it gives me money, but it's my own money."
1331,"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
1332,did you put the blue bin out on the street?,"oh, no. i forgot."
1333,"oh, no. i forgot.","well, you'd better take it out front."
1334,"well, you'd better take it out front.",what time does the recycle truck come by?
1335,what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
1336,"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
1337,i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
1338,"oh, no, you don't.",what do you mean?
1339,what do you mean?,every morning you get up late and rush off to work late.
1340,every morning you get up late and rush off to work late.,do you think i'll forget to do it?
1341,do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
1342,"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
1343,are you ready?,ready for what?
1344,ready for what?,ready for the big switch.
1345,ready for the big switch.,what are you talking about?
1346,what are you talking about?,the nation is switching to digital tv.
1347,the nation is switching to digital tv.,oh. of course i'm ready.
1348,oh. of course i'm ready.,did you buy the converter?
1349,did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
1350,"no, i don't need a converter because i bought a digital tv.",how much was that?
1351,how much was that?,it was only about $120 for a 13-inch screen.
1352,it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
1353,does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
1354,people are funny.,they sure are.
1355,they sure are.,did you hear about the pilot?
1356,did you hear about the pilot?,the one that stole a small plane?
1357,the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
1358,"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
1359,did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
1360,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
1361,did he crash?,"no, he just landed the plane and walked to a restaurant."
1362,"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
1363,did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
1364,his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
1365,the police need our help finding a robber.,how do you know?
1366,how do you know?,the tv news is reporting a bank robbery.
1367,the tv news is reporting a bank robbery.,do they know what the robber looks like?
1368,do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
1369,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
1370,what race is he?,they didn't say.
1371,they didn't say.,the tv news doesn't tell us the race anymore.
1372,the tv news doesn't tell us the race anymore.,of course not. that would be racist.
1373,of course not. that would be racist.,but how can we identify someone if we don't know their race?
1374,but how can we identify someone if we don't know their race?,don't ask me.
1375,don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
1376,don't wipe your nose on your sleeve.,but i don't have a tissue.
1377,but i don't have a tissue.,then go find a tissue in the bathroom.
1378,then go find a tissue in the bathroom.,i didn't have time to get one from there.
1379,i didn't have time to get one from there.,your sleeves are not tissues.
1380,your sleeves are not tissues.,"but mom, all my friends use their sleeves."
1381,"but mom, all my friends use their sleeves.",that doesn't make it right.
1382,that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
1383,i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
1384,i will talk to your father about that.,i bet dad did it all the time when he was my age.
1385,i bet dad did it all the time when he was my age.,your daddy was a good little boy.
1386,your daddy was a good little boy.,"how do you know? were you his mommy, too?"
1387,i'm worried.,worried about what?
1388,worried about what?,i'm getting married.
1389,i'm getting married.,"you should be happy, not worried."
1390,"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
1391,"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
1392,"yes, you have to take care of your wife.",and i have to take care of our children.
1393,and i have to take care of our children.,are you going to start a family?
1394,are you going to start a family?,yes. we want to have a little boy and a little girl.
1395,yes. we want to have a little boy and a little girl.,that sounds wonderful.
1396,that sounds wonderful.,except we can't afford it!
1397,except we can't afford it!,no wonder you're worried.
1398,i don't get art.,or artists.
1399,or artists.,they're in a different world.
1400,they're in a different world.,i saw a painting of a jar that was full of pencils.
1401,i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
1402,the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
1403,but it was full of pencils! how could he say it was empty?,artists see things differently.
1404,artists see things differently.,did you ever see anything that picasso painted?
1405,did you ever see anything that picasso painted?,of course! he's world famous.
1406,of course! he's world famous.,did he ever take art lessons?
1407,did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
1408,i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
1409,what's the point?,the point of what?
1410,the point of what?,of living.
1411,of living.,"who knows? you live, and then you die."
1412,"who knows? you live, and then you die.",we must be here for some reason.
1413,we must be here for some reason.,maybe we're here to have fun.
1414,maybe we're here to have fun.,then why aren't i having fun?
1415,then why aren't i having fun?,because you're thinking too much.
1416,because you're thinking too much.,so i should stop thinking?
1417,so i should stop thinking?,stop thinking about what the point is.
1418,stop thinking about what the point is.,okay. i'll start thinking about having some fun.
1419,okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
1420,beer is a powerful drug.,so are cigarettes.
1421,so are cigarettes.,which would you prefer?
1422,which would you prefer?,what do you mean?
1423,what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
1424,"when you die and go to heaven, they will offer you beer or cigarettes.",i could pick only one or the other?
1425,i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
1426,"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
1427,"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
1428,"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
1429,but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
1430,"well, you can't have everything.",i don't think i want to go to your heaven.
1431,my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
1432,you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
1433,yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
1434,lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
1435,who carries a sharp knife in their pocket?,"criminals, of course."
1436,"criminals, of course.","anyway, i have to fix the hole."
1437,"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
1438,you can sew it up or use an iron-on patch.,tell me about this patch.
1439,tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
1440,the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
1441,that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
1442,do you know any good jokes?,i can't remember jokes.
1443,i can't remember jokes.,neither can i.
1444,neither can i.,they go in one ear and out the other.
1445,they go in one ear and out the other.,who makes up all these jokes?
1446,who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
1447,who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
1448,"yes, just in english alone.",i wonder if every language has jokes.
1449,i wonder if every language has jokes.,of course! people everywhere like good jokes.
1450,of course! people everywhere like good jokes.,what do you think people joke about the most?
1451,what do you think people joke about the most?,i think most jokes are about women.
1452,i think most jokes are about women.,"oh, really? i think most jokes are about men!"
1453,you're very lucky.,why do you say that?
1454,why do you say that?,you speak two languages.
1455,you speak two languages.,"well, my english isn't perfect."
1456,"well, my english isn't perfect.",no one speaks perfect english.
1457,no one speaks perfect english.,maybe i will be the first!
1458,maybe i will be the first!,i've been thinking about learning spanish.
1459,i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
1460,spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
1461,how long will it take me to learn?,i think it will only take you a year or two.
1462,i think it will only take you a year or two.,how soon can we begin?
1463,how soon can we begin?,ahora! that means right now.
1464,do you know what today is?,"yes, it's april 22."
1465,"yes, it's april 22.",it's more than just a date.
1466,it's more than just a date.,is it your birthday or anniversary?
1467,is it your birthday or anniversary?,"no, it's earth day."
1468,"no, it's earth day.",what's that?
1469,what's that?,it's a yearly reminder to take care of our planet.
1470,it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
1471,"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
1472,"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
1473,how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
1474,"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
1475,poetry sucks.,i don't know anyone who likes it.
1476,i don't know anyone who likes it.,"some of it is okay, i guess."
1477,"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
1478,"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe."""
1479,"like ""one, two, buckle my shoe.""",but people still write poems.
1480,but people still write poems.,no one makes any money at it.
1481,no one makes any money at it.,shakespeare was a poet.
1482,shakespeare was a poet.,did he get rich from his poetry?
1483,did he get rich from his poetry?,probably not.
1484,probably not.,poems are a little bit like songs.
1485,poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
1486,how smart are you?,i don't know. i think i'm average.
1487,i don't know. i think i'm average.,did you ever take an iq test?
1488,did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
1489,"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
1490,i wish i was really smart.,don't be ridiculous.
1491,don't be ridiculous.,what do you mean?
1492,what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
1493,"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
1494,don't you ever wonder what it's like to be super-smart?,it must be very lonely.
1495,it must be very lonely.,why's that?
1496,why's that?,"because if you're super-smart, no one understands what you're saying."
1497,i missed the tv news last night. what was on?,nothing that would pass as news.
1498,nothing that would pass as news.,what's the weather going to be like this weekend?
1499,what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
1500,"i don't know. whenever the weather comes on, i switch channels.",what was the lead story on the news?
1501,what was the lead story on the news?,some actress was in court for driving without a license.
1502,some actress was in court for driving without a license.,what was the second story?
1503,what was the second story?,some actor married a woman young enough to be his daughter.
1504,some actor married a woman young enough to be his daughter.,what was the third story?
1505,what was the third story?,a bull chased a man in a supermarket.
1506,a bull chased a man in a supermarket.,wasn't there anything about octo-mom?
1507,wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.
1508,what are you going to do about your death?,"well, mostly i'll try to avoid it."
1509,"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
1510,"i mean, are you going to get buried or cremated?",my wife and i will be cremated.
1511,my wife and i will be cremated.,are you going to be buried next to each other?
1512,are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
1513,"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
1514,you're not going to be buried?,a coffin costs too much and takes up too much space.
1515,a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
1516,"yes, but it will be in a cemetery where your children can visit you.",children seldom visit their parents in a cemetery.
1517,children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people."
1518,"that's true. a cemetery is for dead people, not living people.",we figure our kids can visit us whenever they go to the beach.
1519,did you wipe your feet?,"yes, of course i wiped my feet."
1520,"yes, of course i wiped my feet.",then why is there mud on the carpet?
1521,then why is there mud on the carpet?,i don't know. it's not my mud.
1522,i don't know. it's not my mud.,"well, someone brought it into the house."
1523,"well, someone brought it into the house.",look at the bottom of my shoesthey're clean.
1524,look at the bottom of my shoesthey're clean.,of course they're clean. you left all the mud on the carpet.
1525,of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner."
1526,"okay, i'll get the vacuum cleaner.",don't vacuum it now.
1527,don't vacuum it now.,don't you want me to clean up the mud?
1528,don't you want me to clean up the mud?,wait till it dries. it will be easier to vacuum.
1529,wait till it dries. it will be easier to vacuum.,next time i will be more careful.
1530,what are you getting for your mom?,what are you talking about?
1531,what are you talking about?,sunday is mother's day.
1532,sunday is mother's day.,this sunday?
1533,this sunday?,of course. it's all over the news.
1534,of course. it's all over the news.,i thought it was next sunday.
1535,i thought it was next sunday.,"well, you'd better get her something."
1536,"well, you'd better get her something.",i'll get her a nice card.
1537,i'll get her a nice card.,is that it?
1538,is that it?,yes. that's all i ever give her.
1539,yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
1540,"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.
1541,i don't like our flag.,what's the matter with it?
1542,what's the matter with it?,it's too much like other flags.
1543,it's too much like other flags.,"yes, a lot of flags have stripes."
1544,"yes, a lot of flags have stripes.",a flag should be pretty.
1545,a flag should be pretty.,what should our flag look like?
1546,what should our flag look like?,it should have a pretty woman on it.
1547,it should have a pretty woman on it.,that's ridiculous!
1548,that's ridiculous!,you don't like pretty women?
1549,you don't like pretty women?,of course i do. but not on our flag!
1550,of course i do. but not on our flag!,every nation should have a pretty woman on their flag.
1551,every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
1552,i had a busy morning.,what did you do?
1553,what did you do?,i watered all the plants.
1554,i watered all the plants.,you have a lot of plants.
1555,you have a lot of plants.,then i did my laundry.
1556,then i did my laundry.,that takes some time.
1557,that takes some time.,i took the dog for a walk.
1558,i took the dog for a walk.,i'll bet he enjoyed his walk.
1559,i'll bet he enjoyed his walk.,i vacuumed the entire house.
1560,i vacuumed the entire house.,that's a lot of work.
1561,that's a lot of work.,and then i made lunch.
1562,and then i made lunch.,i'll bet you were hungry!
1563,i don't have long distance service with my home phone.,so how do you make long distance calls?
1564,so how do you make long distance calls?,i use a calling card.
1565,i use a calling card.,where do you get that?
1566,where do you get that?,i buy it at the dollar store.
1567,i buy it at the dollar store.,how much is it?
1568,how much is it?,it's one dollar for 100 minutes.
1569,it's one dollar for 100 minutes.,that's only a penny a minute!
1570,that's only a penny a minute!,it's a great price. but you have to dial a lot of numbers.
1571,it's a great price. but you have to dial a lot of numbers.,how many?
